Kaizen_title,background,baseline,issue
Improvement Quality Toy HDF70 Part 11026-76510 line C18,"TOY RE RUN
","Eff :67 %
","Wrong dimention seam join inseam 400.000ppm
Tidak terdapat jig/totokan di proses join inseam,Wrong dimention seam join back 200.000ppm
Seam join back kebesaran spec 3/16” actual ¼” karena tidak terdapat jig/guidance seam saat jahit,Loose stitches join elastic to waist 400.000ppm
Karena tension di mesin join elastic to waist kendor,Mismatch  seam join inseam 400.000ppm
Karena seam felling bottom pant awal dan akhir tidak sama (saat jahit method dilepas dibagian akhir),Mismatch back 600.000ppm
Seam join elastic waist awal dan akhir tidak sama ? tidak terdapat jig/totokan untuk lebar waist"
Improve Quality Toy HHK52 Part 11027-93388 line B4,"TOY PS
",Eff :51  %,"Improper seam OL back opening 800.000ppm
Seam OL back opening kekecilan karena tidak sesuai totokan saat jahit,Improper topstick waist 200.000ppm
Tidak terdapat guidance seam saat jahit,Runs fabric 200.000ppm
Kondisi jarum tumpul di prosesjoin waist ,Bumpy 200.000ppm
Seam join back kanan dan kiri tidak match,Improper stitches seam felling yoke 200.000ppm
Saat jahit material waist tidak relaks"
BB - Standarisasi proses Go no Go Barbell berantakan,Belum ada Standard proses Go no Go,hasil go no go dan good output biasa tercampur,"LKP good output digunakan untuk identitas part go no go 
,Operator sortir harus melihat garis (max di 1.095”) sehingga output yg dihasilkan sedikit 
,Tidak ada red bin untuk tempat barbell berantakan
,Operator sortir masih menggunakan 1 tangan 
,Tidak ada segregasi penempatan barbell berantakan
,Area & alat sortir tidak proper
"
PIM - Pemanfaatan polybag besar untuk packing torso area injection molding,Pemborosan polybag ,Pemakaian polybag terlalu banyak,Polybag terlalu besar sedangkan standar packing menurut lkp 100 pcs (khusus torso)-Membutuhkan banyak polybag
Safety Procedure on Loading Dock,"Finding from EHS Global not using LOTO on chassis container,Finding from GEMBA key truck still on truck",Air Brake Lock not applicant on chassis container,"Team Finish Goods belum paham tentang prosedur LOTO dan tujuannya,R+ untuk melakukan LOTO belum ada dan kadang dilakukan oleh supir atau kondektur,Belum ada penambahan pengecekan prosedur LOTO,Belum ada WI terkait LOTO karena proses LOTO baru,Belum ada sign untuk intruksi, tidak boleh loading sebelum LOTO dipasang"
PO - Kaizen New Line di toy GNC62,Kaizen New Line,Data menyusul menunggu FHO,NULL
PO - Kaizen Quality Improvement Toy HLW00,Di temukan reject LBO ,"Reject LBO messy hair 1/1900, improper grooming 1/1900","Besi berputar tidak ada cover mesin auto grooming no 01, Line GR02 --,Sambungan Cutter tajam potensi tangan tergores saat mendorong pegboard di line GR02--,Finding LBO Reject  messy hair 1/900 = 526 PPP-Saat proses join head posisi tangan operator memegang tengah kepala.,Finding LBO reject Improper grooming 1/1900 = 526 PPM-Harnet kendor"
RC - Improvement guiden PPE area RC,Pemakaian PPE di mesin RC Manual beragam dan tidak ada CTQ yang jelas,Adanya 2 standard pemakaian PPE sarung tangan di area mesin RC Manual,"Operator lain yang bukan diarea tersebut tidak mengetahui penggunaan PPE yang sesuai di area mesin RC manual
Root cause:
Tidak ada guiden pemakaian PPE yang sesuai diarea mesin RC manual"
TP - PP Kaizen Toy HKB09 Sunglasses ,Memastikan saat PS berjalan lancar,"Reject under print 1.000.000 PPM
Reject scratch paint 200.000 PPM setelah proses Packing","Kabel  selang blower MC CMYK no 5  terkelupas & kawatnya keluar berpotensi melukai operator saat proses tampo-Kselang blower karena life time & terkena cairan chemical,Reject under print 1.000.000 PPM, cat sulit transfer pada part-Cat kental ,Reject scratch paint 200 .000 PPM, ditemukan setelah proses Packing 
Root cause:
Operator tidak melakukan proses standarisasi peletakan part sesuai SOP (method congklak)"
Web Based Sewing Part Digital Library (14 oct),"Difficulties on finding data from previous toys,Consuming more times to search for toy sewn part reference,Uncentralized data,Scattered data",SGE doesn't have a proper platform to keep previous developed SG part,"Scattered data,Difficult to find sewn part reference,Difficult to download patterns and other supported file due to uncentralized data"
Balancing proses toy GHK35 PO,Kaizen new line,Data menyusul,NULL
PO - New Line Toy HMH26 ,"Ct blm mampu 
penumpukkan",Balancing proses,"Ct tdk balance diproses takehead dan pasang R/B 1 pc dan rapihin rambut dan joinhead dan pasang R/B 1 pc To torso-a. Take head + Pasang R/B 1 pc to insert + rapihin rambut CT 16'
b. Joinhead + pasang R/B 1 pc to torso Ct 9"",Ct tdk balance di proses datecode Laguage Assy + pasang costum dan proses fish tank assy
-a. Dace code Languanqe Assy + pasang costum Ct 14""
b. Proses Fish Tank Assy Ct : a. 9""
                                                     b.10"",Ct tdk balance diproses pasang handle to Languaqe dan proses pasang Languaqe assy to insert + pasang Sticker Label to Languaqe.-a.proses pasang Handle to languaqe assy CT 9""
b.Proses pasang Languaqe assy to insert + pasang Sticker label Ct 13"",penempatan R/H disupermarket tdk pada tempatnya-jarak sutter R/H disupermarket terlalu jauh "
PO - New line Toy HKB07,"ct blm mampu
penumpukkan .
balancing proses",Balancing proses,"Ct tdk balance diproses datecode torso Tag costum pink skirt-1. -Datecode torso & cleaning top
    - take & attach topto torso
   - take & attach skirt to torso
   - Release torso to comvayer 
    Ct 22""
2.- Take torso from Comvayer
   - take & R/L shoes 
  - Take & attach pink skirt to 
    insert 2x
   - take & tack long pants to insert  Ct 26""
   ,Ct tdk balance diproses selot acc dan Tag costum -1. take insert from convayer , take and crease inner blister , attach inner blister to insert ( locking 6x)take and attach c tape to back blister  3x Ct : a. 45
                          b. 46
2. Take insert from convayer , take purpel dress to insert 2x , tack short to insert 2x , slot short to insert 2x . selot blue dress to insert Ct 26"",Ct tdk balance diproses TTI (2) dan Doll to master-1. TTI, inspek costum 10 pc , datecode dan fold ic , slot insert ic, lock lower ic , Release ic to convayer Ct 20""
2. take insert from convayer , lock upper ic , cp : 4 pc /mc Get M/C to workstation ct 20"",cover stop contack mirin-Mur lepas satu "
REFURBISHED MISSING BOLT ADJUSTMENT FOR BACKPRESSURE USING COMMON STARBOLT.,MISSING ADJUSTMENT BOLT FOR BACKPRESSURE IN M4 MACHINES,21/69 MISSING BOLT ADJUSTER FOR BACKPRESSURE,NO BOLT ADJUSTER FOR BACKPRESSURE ON M4 MACHINES
Power BI visualization of supplier incoming performance,"No visualization for monthly report supplier performance,There is non-certified supplier with high GRN but low rejection","Incoming GRN,Incoming RN","Big data from AS400, difficult to analysis monthly performance,Unclear objective for monthly supplier performance,Difficult to read auto calculate IQC supplier performance"
TP - PP kaizen HHN07 Dog Head,Memastikan saat PS berjalan lancar,"Missing identifikasi pada base nest,Reject berserabut 500,000PPM","Mekanik kesulitan pada saat memasang nest karena tanda yang ada pada nest tidak sesuai dengan SOP
,Operator susah mengambil part setelah proses tampo pada nest urutan no.3 (ear)
,Reject berserabut 5/10=500,000PPM
,Standar packing antara spray dengan tampo tidak sama sehingga terjadi over processing di proses tampo
"
CR - Curling Kaizen Improvement 5S,Segragation hair yarn kurang jelas,"Kesulitan mengidentifikasi return hair yarn dari FAR,Hair yarn curl tercampur dengan material lain di area FAR","Quantity hair yarn di basket yang ada di area FAR melebihi standard timbangan (standard 4 kg)
,Kesulitan mengidentifikasi return hair yarn dari FAR
,Hair yarn curl rusak dan berantakan
,Hair yarn curl tercampur dengan material lain di area FAR
"
PO - Kaizen New Line Toy HGR60,New Line,CT tidak balance di beberapa proses,"CT tinggi di proses attach earing, smooting hair, trimming hair, attach polybag menggunakan 2 operator dengan proses yang sama
,CT tidak balance di proses date code torso dan micro tach
,CT tidak balance di proses pin leg dan proses TTI
"
Design Kaizen GRN27 BRB EXTRA DOLL ASST 2022 ,Generating idea and potential saving before PS,FPR cost,Reduce outer blister thickness from 24 mil to 20 mil
PO - Kaizen New Line Toy HGM71,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses grooming menggunakan 4 operator masing masing ct 27s tt 9s dan proses dressing ct 16s,CT tidak balance di proses merapikan rambut menggunakan 2 operator ct 9s tt 9s dan proses release polybag, attach helm to head, tag helm to head menggunakan 2 operator ct 25s,CT tidak balance di proses attach acc to inner blister menggunakan 4 operator ct 7s tt 9s dan proses packing ct 16s"
SP - Segregasi tooling area tool keep spray,"Kesulitan saat mencari tooling dan sample
,Tidak ada identifikasi tooling dan sample","Dibutuhkan waktu lama 15 menit saat mencari tooling dan sample
","Toy yang sudah lama tidak running/EOT masih ada dalam rak lokator dan tidak ada space lagi untuk toy-toy baru root causenya pemisahan toy-toy EOT dilakukan tidak rutin dan tidak pasti ,Ditemukan penempatan tooling tidak sesuai dengan lokator 3/10 tooling root causenya pada saat jam kepulangan petugas tool keep tidak fokus melihat identifikasi lokator karena sudah mepet dengan waktu kepulangan,Tidak ada tempat yang proper/lokator untuk toy-toy ReRun root causenya belum adanya lokator untuk toy ReRun,Untuk tooling U/T dan ACC identifikasi tidak terupdate root causenya sulitnya untuk mengupdate data lokator karna data yang digunakan masih manual,Kesulitan saat mencari tooling & sample head sehingga waktu yang dibutuhkan hampir 15 menit karena penempatan tooling dan sample berbeda dan tidak ada identifikasinya"
ID Card (KPK) System,"KPK's production cost is quite expensive,Printing result of KPK easily faded,Only one single source system","Many KPK found that had been faded,KPK reprints more than 1500 per year","Too much information on the Card,Broken OD Card"
TP - Improvement quality & productivity Roof HGX54,Output belum sesuai F/C,"Reject contaminasi 700.000ppm
","Reject contamination 700,000ppm setelah proses tampo - Cat hairy dengan menggunakan cat TP Black #370,Masih adanya space kosong pada blister setelah proses packing - Opportunity menambah kapasitas output packing,Terjadi salah kirim output - Keterangan identitas pada LKP menyatakan output dikirim ke staging ASE (TA) actualnya output dikirim ke staging P5 (PO),Output belum sesuai F/C pada proses tampo ke 2  - CT tinggi di proses tampo kedua karena operator kesulitan untuk fitting part pada nestdengan CT 7s dan TT 6.5s"
Reduce Patrol Molding Part List,Many part list without problem within 6 months and need to be reviewed,Change current part list without issue to part list with high occurrence issue,Too many part list with no history problem within 6 months
FA - Ramp up sch toy HNF42 ,"Ramp up sch
Dari 600 ke 800",CT tidak balance di beberapa proses ,"Oven confeyor tirai nya sobek -Terkena pagbourd PD saatt ambil kepala ,Proses tidak balance di proses taghead dan insert-Proses pasang RB to blister , taghead, Reggrom CT 36 TT 34
Proses creacing insert dan pasang RB CT 30 ,Proses tidak balance di proses date code torso dan pasang body blister -Proses date code torso dan pasang costum CT 30 TT 34

Proses pasang body waisstrap,,dan pasang holder arm CT 36,Proses tidak balance di proses selot body dan lock insert -Proses selot body ,selot arm,dan isolatep CT 37 TT 34
Proses pasang tab in ,lock insert CT 30 TT 34,Proses tidak balance di proses TTI dan lock individual -Proses TTI CT 28
Proses date code ic dan lock ic atas dan bawah CT 35"
SP - Improvement Quality & PRODUCTIVITY HLX68- 6D09 [RABBIT],OUTPUT TIDAK TERCAPAI SESUAI FC,OUTPUT ACTUAL  200 VS 260 /JAM,"Adanya proses menunggu diawal shift proses inspection
Root Cause:
Banyaknya proses dan beberapa proses yang critikal sehingga membutuhkan waktu hingga sampai diproses inspect,Scratch diproses ke 5 oleh proses ke 6 
Root Cause:
Paint proses ke 5 masih basah dan berdekatan dengan proses ke 6,Paint gold peel off karena terkena proses selanjutnya
Root Cause:
Proses gold dan proses selanjutnya saling berdekatan sehingga cat masih basah terkena proses berikutnya"
PA - Kaizen improve productivity toy hlc36 modif 2,Productivity blm dapat,output 300/jam fc 500,"Gap pundak 41/400
Setingan rubber kurang turun,head conector 17/200
Setingan angin clamping terlalu besar menyebabkan part bergeser,Gagal oint saat joint leg 27/400
Tangan boneka menyentuh tabung silinder,Upper torso tidak terangkat saat akan di clamping
Prection cup terlalu lembek"
PA - Kaizen Improvement tooling Toy HJX15 cel7,saat ps berjalan lancar sesuai scd,100,"Upper belakang tidak masuk ke diffing nest eathyl
Lobang diffing nest kurang 1(Tidak lengkap) 10/10,Gap pinggang sebelah kiri 5/5
karena rubber clamping kurang 1,Operator saat proses kaki tidak bisa masuk kebawah meja
karena lay out bin terlalu rapat,Arm issue flash dan over triming 10/10"
DC - PP Kaizen Toy  HLW59 dan toy HBP16 ,PP kaizen utk memastikan ps berjalan lancar,Ada penambahan cetak samping d toy HBP16 dan ada perbedaan tgl program dgn wo d toy HLW59,"Di toy hbp16 tidak ada keterangan face up mengkilat d atas karna ada perbedaan antara nutch kanan kiri -Potensi salah potong,Aqtual potong toy HBP16 -4065 di wo cetak samping 8 dgn width 152 space 1 mold ke samping-Cetak samping lebih 1mold,Di toy HLW59-4066 tgl program antara d wo dgn tgl program aqtual beda program d wo tgl 22-12 -2022 d proram tgl 31-01-2023-Mengakibat kan salah program pd saat jln toy tsb,Di toy hlw59-4065 potongan aqtual tidak balance kanan kiri nya-mengakibatkan rijek ,Oee dan sop d line laser camera tidak rapi penempatan nya-Tempat nya berantakan tidak tertata"
PTMI Digital Paper Print,"High obsolescence on fabric and purchased die-cut part,Long production lead time of printed fabric and purchased die-cut part,High PIA (gain) on PTMI Digital Paper Print Fabric,Low utilization of PTMI Digital Paper Print,High Roller Charge for Roller Paper Print Fabric (FY 2018) :",-,NULL
IMPROVE MEDICAL RECORDE,Medical recorde tidak di ketemukan  dan 5S kurang,"data base medical recode tidak terupdate,number medical recode 1 kpk ada 2,number medical recode doble di data base,salah metetakna medical recode",NULL
Reduce Chip Off on Chasis ID011,NULL,NULL,NULL
Improve Quality Toy GDJ40 Part 11019-81902 line B20,"TOY MASSAL
","Eff :70  %
","Improper topstick bodice 400,000ppm
Karena saat jahit kondisi material kurang rileks,Improper felling neckline 200,000ppm
Karena saat jahit feeling, seam kebesaran (tidak sesuai SOP),Improper seam sideseam 200,000ppm
Seam join sideseam kebesaran spec 3/16” actual 1/4” karena tidak terdapat guidance seam saat jahit,Mismatch sideseam area neckline 200,000ppm
Karena saat digunakan untuk menjahit, material atas dan bawah laju tidak bersamaan ,Improper seam topstick bodice 200,000ppm
Tidak terdapat guidance saat jahit topstick bodice"
Improve Quality Toy GDJ40 Part 11019-81903 C12,"SMOOTH PP TO PS
","Eff :30  %
","Roll up felling bottom 400,000ppm
Karena pengambilan seam terlalu besar (tinggi material melebihi tinggi sepatu),: Mismatch join backseam 400,000ppm
Karena laju mesin antara tekanan pressure foot dan feed dog tidak seimbang ,Excess Velcro hook 200,000ppm
Karena pada saat jahit, tepi material melebihi totokan,Hanging thread 200,000ppm
Karena sisa benang tertutup material (roll up) saat trimming,Improper seam side seam 200,000ppm
Seam join side seam kekecilan, spec 3/16” actual 1/8” di bagian lengkung 

"
Improve Quality Toy HGM63 Part 11027-89631 line B10,"TOY RERRUN
","Eff :51  %
","Improrer felling neckline 800,000ppm
Seam felling neckline kekecilan diarea lengkung karena ketinggian lipatan kurang ,Unbalance shoulder 200,000ppm
Seam felling neckline kebesaran spec 1/8” actual 3/16” diarea shoulder,Improper OL bottom 200,000ppm
Seam OL bottom kekecilan spec 1/8” actual 1/32”- 1/16” dan roll up,Wrong dimensi seam join sideseam 200,000ppm
Seam join sideseam kebesaran spec 3/16” actual 1/4” 
,Improper seam felling armhole
Seam felling armhole kebesaran dibagian ujung karena saat jahit method jahit dilepas"
